cte_max_before,cte_max_after,steering_l2_before,steering_l2_after,time,mutation type,mutation method,episode
1.4437,1.3566,0.2748099570638385,0.2530288005519418,03-22-23-14,XAI_FSC,random,30
0.3027,0.2924,0.02208629621360172,0.01965345801599834,03-22-23-14,XAI_FSC,random,31
1.1092,1.1297,0.18653144756278395,0.183238703033989,03-22-23-14,XAI_FSC,random,32
1.0381,1.0018,0.1501504899992867,0.16139649881260304,03-22-23-14,XAI_FSC,random,33
1.6003,1.5468,0.2972449087063606,0.2727922128480816,03-22-23-14,XAI_FSC,random,34
1.5468,1.5849,0.2727922128480816,0.2929849812455623,03-22-23-14,XAI_FSC,random,35
1.1288,1.1804,0.18152255215738627,0.18265683449146083,03-22-23-14,XAI_FSC,random,36
0.6082,0.6143,0.026583425371216492,0.027369095917430374,03-22-23-14,XAI_FSC,random,37
1.5425,1.5426,0.2779617185122912,0.27402113495956026,03-22-23-14,XAI_FSC,random,38
0.4216,0.5716,0.04603510249022911,0.08368614025243937,03-23-00-02,XAI_FSC,attention_same,0
0.616,0.4031,0.05292572132076665,0.03264691466443474,03-23-00-02,XAI_FSC,attention_same,1
0.8819,0.7841,0.05583238030691658,0.06116453313983137,03-23-00-02,XAI_FSC,attention_same,2
0.3879,0.3214,0.03266974794205164,0.01934796180500536,03-23-00-02,XAI_FSC,attention_same,3
0.7628,0.8677,0.11126134284100969,0.1348063471127403,03-23-00-02,XAI_FSC,attention_same,4
1.085,0.4463,0.14119893417268017,0.03210575929370456,03-23-00-02,XAI_FSC,attention_same,5
0.4463,0.2593,0.03210575929370456,0.010704107072365285,03-23-00-02,XAI_FSC,attention_same,6
0.3017,0.2826,0.009506371879493563,0.006435975143900626,03-23-00-02,XAI_FSC,attention_same,7
1.1747,0.8787,0.20320476352740865,0.12361682407011812,03-23-00-02,XAI_FSC,attention_same,8
0.8787,0.4387,0.12361682407011812,0.04389585502653662,03-23-00-02,XAI_FSC,attention_same,9
0.2963,0.3157,0.012745131788775699,0.00769906443374931,03-23-00-02,XAI_FSC,attention_same,10
0.3157,0.3663,0.00769906443374931,0.017935374173716163,03-23-00-02,XAI_FSC,attention_same,11
0.8569,1.3478,0.10331358377864874,0.22282648547522765,03-23-00-02,XAI_FSC,attention_same,12
0.3177,0.3396,0.014240775664644155,0.022248019940553896,03-23-00-02,XAI_FSC,attention_same,13
0.4172,0.452,0.03455830046185753,0.05268207700422888,03-23-00-02,XAI_FSC,attention_same,14
0.415,0.5079,0.04347234671931323,0.04824841280778932,03-23-00-02,XAI_FSC,attention_same,15
1.2524,0.9874,0.16295826705706926,0.11591525670849888,03-23-00-02,XAI_FSC,attention_same,16
1.1226,1.0762,0.09623377343800998,0.11556385335242556,03-23-00-02,XAI_FSC,attention_same,17
1.0762,1.3883,0.11556385335242556,0.18986151342901333,03-23-00-02,XAI_FSC,attention_same,18
2.3121,1.4391,0.22524616100654593,0.18850422168023379,03-23-00-02,XAI_FSC,attention_same,19
1.3639,1.5442,0.22570824633511818,0.2733299216204102,03-23-00-02,XAI_FSC,attention_same,20
1.4388,1.1782,0.18784612153800911,0.1391921201047544,03-23-00-02,XAI_FSC,attention_same,21
1.5864,2.1634,0.2628915279047187,0.4059540203319084,03-23-00-02,XAI_FSC,attention_same,22
2.1634,2.4988,0.4059540203319084,0.40928584040716404,03-23-00-02,XAI_FSC,attention_same,23
2.4988,2.6027,0.40928584040716404,0.6653801696455867,03-23-00-02,XAI_FSC,attention_same,24
1.1171,0.86,0.20498084058284527,0.11111611825622157,03-23-00-33,XAI_FSC,attention_opposite,0
1.0687,0.7357,0.13078255175539957,0.0799485815669444,03-23-00-33,XAI_FSC,attention_opposite,1
0.7889,0.6558,0.07649147375474555,0.03834015692784557,03-23-00-33,XAI_FSC,attention_opposite,2
0.3821,0.3086,0.03425481860254677,0.018263962539977568,03-23-00-33,XAI_FSC,attention_opposite,3
0.3007,0.1438,0.02119597278299501,0.0144613775627403,03-23-00-33,XAI_FSC,attention_opposite,4
0.1438,0.1392,0.0144613775627403,0.013881535449659503,03-23-00-33,XAI_FSC,attention_opposite,5
1.1343,1.1449,0.16361507725026708,0.16417163271899016,03-23-00-33,XAI_FSC,attention_opposite,6
0.712,0.6514,0.04277509476121784,0.04815897971788089,03-23-00-33,XAI_FSC,attention_opposite,7
0.9013,0.8632,0.12987134233073927,0.12127019837162495,03-23-00-33,XAI_FSC,attention_opposite,8
0.8632,0.9173,0.12127019837162495,0.13604811671242015,03-23-00-33,XAI_FSC,attention_opposite,9
1.1248,1.1149,0.15983185083503407,0.15901004922344736,03-23-00-33,XAI_FSC,attention_opposite,10
0.1714,0.1495,0.014768682682499137,0.013811455531540421,03-23-00-33,XAI_FSC,attention_opposite,11
0.9415,0.8731,0.12958467370955185,0.1059736314391586,03-23-00-33,XAI_FSC,attention_opposite,12
0.6345,0.6094,0.10027239320482895,0.0989561500448003,03-23-00-33,XAI_FSC,attention_opposite,13
0.1531,0.1544,0.01392279073628757,0.01376356143144287,03-23-00-33,XAI_FSC,attention_opposite,14
0.8833,0.9013,0.13254885125226248,0.13340371204879614,03-23-00-33,XAI_FSC,attention_opposite,15
0.6551,0.6456,0.09945252010313184,0.10260071310683923,03-23-00-33,XAI_FSC,attention_opposite,16
0.4321,0.4797,0.041504440220936495,0.046809639791728294,03-23-00-33,XAI_FSC,attention_opposite,17
0.7262,0.7202,0.0445526365769059,0.045424496223602735,03-23-00-33,XAI_FSC,attention_opposite,18
0.158,0.1908,0.014222188067435025,0.013606296520771407,03-23-00-33,XAI_FSC,attention_opposite,19
0.696,0.6939,0.028168161363273325,0.027731323667882817,03-23-00-33,XAI_FSC,attention_opposite,20
1.1749,1.209,0.16893125412024368,0.16213684650559038,03-23-00-33,XAI_FSC,attention_opposite,21
0.4591,0.4724,0.04342553036643066,0.046190445292932356,03-23-00-33,XAI_FSC,attention_opposite,22
0.8824,0.8713,0.1047316045349429,0.09842487269730985,03-23-00-33,XAI_FSC,attention_opposite,23
0.8713,0.8806,0.09842487269730985,0.10546546106436776,03-23-00-33,XAI_FSC,attention_opposite,24
0.9196,0.8954,0.14549658253534395,0.1307844408844159,03-23-00-33,XAI_FSC,attention_opposite,25
0.8975,0.8909,0.1097259116822469,0.13051540286206798,03-23-00-33,XAI_FSC,attention_opposite,26
0.4563,0.4631,0.04348796648999049,0.043027871467159584,03-23-00-33,XAI_FSC,attention_opposite,27
0.7324,0.7398,0.0466628201557465,0.0488209517901326,03-23-00-33,XAI_FSC,attention_opposite,28
0.5765,0.5554,0.04235105565857403,0.04079883020575245,03-23-00-33,XAI_FSC,attention_opposite,29
0.8731,0.8896,0.10233284225655893,0.11140947098353343,03-23-00-33,XAI_FSC,attention_opposite,30
1.1504,1.1371,0.15985149184129294,0.1610955683346933,03-23-00-33,XAI_FSC,attention_opposite,31
1.1371,1.1355,0.1610955683346933,0.14984297922878057,03-23-00-33,XAI_FSC,attention_opposite,32
