Time,episode id,is success,seed,method_combi
03-28-21-18,1,0,19,XAI attention_opposite GC
03-28-21-20,5,0,20,XAI random GC
03-28-21-26,10,0,20,XAI attention_same GC
03-28-21-38,8,0,20,XAI attention_opposite GC
03-28-21-48,6,0,21,XAI random GC
03-28-21-55,2,0,21,XAI attention_same GC
03-28-21-59,2,0,21,XAI attention_opposite GC
03-28-22-02,9,0,22,XAI random GC
03-28-22-14,2,0,22,XAI attention_same GC
03-28-22-17,2,0,22,XAI attention_opposite GC
03-28-22-20,6,0,23,XAI random GC
03-28-22-28,1,0,23,XAI attention_same GC
03-28-22-30,1,0,23,XAI attention_opposite GC
03-28-22-33,4,0,24,XAI random GC
03-28-22-38,2,0,24,XAI attention_same GC
03-28-22-41,7,0,24,XAI attention_opposite GC
03-28-22-50,3,0,25,XAI random GC
03-28-22-54,6,0,25,XAI attention_same GC
03-28-23-02,6,0,25,XAI attention_opposite GC
03-28-23-10,13,0,26,XAI random GC
03-28-23-25,1,0,26,XAI attention_same GC
03-28-23-28,1,0,26,XAI attention_opposite GC
03-28-23-30,11,0,27,XAI random GC
03-28-23-43,6,0,27,XAI attention_same GC
03-28-23-51,5,0,27,XAI attention_opposite GC
03-28-23-57,3,0,28,XAI random GC
03-29-00-01,8,0,28,XAI attention_same GC
03-29-00-11,2,0,28,XAI attention_opposite GC
03-29-00-14,5,0,29,XAI random GC
03-29-00-21,14,0,29,XAI attention_same GC
03-29-00-37,2,0,29,XAI attention_opposite GC
03-29-00-40,1,0,30,XAI random GC
03-29-00-43,10,0,30,XAI attention_same GC
03-29-00-55,2,0,30,XAI attention_opposite GC
03-29-00-59,3,0,31,XAI random GC
03-29-01-03,4,0,31,XAI attention_same GC
03-29-01-09,4,0,31,XAI attention_opposite GC
03-29-01-14,7,0,32,XAI random GC
03-29-01-23,5,0,32,XAI attention_same GC
03-29-01-30,22,0,32,XAI attention_opposite GC
03-29-01-56,5,0,33,XAI random GC
03-29-02-02,9,0,33,XAI attention_same GC
03-29-02-13,6,0,33,XAI attention_opposite GC
03-29-02-21,4,0,34,XAI random GC
03-29-02-26,4,0,34,XAI attention_same GC
03-29-02-31,8,0,34,XAI attention_opposite GC
03-29-02-41,1,0,35,XAI random GC
03-29-02-44,1,0,35,XAI attention_same GC
03-29-02-46,1,0,35,XAI attention_opposite GC
03-29-02-49,8,0,36,XAI random GC
03-29-02-59,7,0,36,XAI attention_same GC
03-29-03-08,9,0,36,XAI attention_opposite GC
03-29-03-18,1,0,37,XAI random GC
03-29-03-21,14,0,37,XAI attention_same GC
03-29-03-37,6,0,37,XAI attention_opposite GC
03-29-03-45,15,0,38,XAI random GC
03-29-04-03,10,0,38,XAI attention_same GC
03-29-04-15,9,0,38,XAI attention_opposite GC
03-29-04-25,3,0,39,XAI random GC
03-29-04-30,2,0,39,XAI attention_same GC
03-29-04-33,6,0,39,XAI attention_opposite GC
03-29-04-41,6,0,40,XAI random GC
03-29-04-48,0,0,40,XAI attention_same GC
03-29-04-50,1,0,40,XAI attention_opposite GC
03-29-04-52,15,0,41,XAI random GC
03-29-05-09,6,0,41,XAI attention_same GC
03-29-05-17,3,0,41,XAI attention_opposite GC
03-29-05-21,1,0,42,XAI random GC
03-29-05-24,1,0,42,XAI attention_same GC
03-29-05-26,1,0,42,XAI attention_opposite GC
03-29-05-28,0,0,43,XAI random GC
03-29-05-29,0,0,43,XAI attention_same GC
03-29-05-30,2,0,43,XAI attention_opposite GC
03-29-05-34,39,1,44,XAI random GC
03-29-06-17,4,0,44,XAI attention_same GC
03-29-06-23,3,0,44,XAI attention_opposite GC
03-29-06-28,1,0,45,XAI random GC
03-29-06-30,9,0,45,XAI attention_same GC
03-29-06-41,4,0,45,XAI attention_opposite GC
03-29-06-47,4,0,46,XAI random GC
03-29-06-52,5,0,46,XAI attention_same GC
03-29-06-59,2,0,46,XAI attention_opposite GC
03-29-07-02,8,0,47,XAI random GC
03-29-07-12,10,0,47,XAI attention_same GC
03-29-07-24,8,0,47,XAI attention_opposite GC
03-29-07-34,4,0,48,XAI random GC
03-29-07-39,10,0,48,XAI attention_same GC
03-29-07-51,14,0,48,XAI attention_opposite GC
03-29-08-07,7,0,49,XAI random GC
03-29-08-16,14,0,49,XAI attention_same GC
03-29-08-32,7,0,49,XAI attention_opposite GC
03-29-08-41,6,0,50,XAI random GC
03-29-08-49,10,0,50,XAI attention_same GC
03-29-09-01,6,0,50,XAI attention_opposite GC
03-29-09-09,2,0,51,XAI random GC
03-29-09-12,2,0,51,XAI attention_same GC
03-29-09-16,6,0,51,XAI attention_opposite GC
03-29-09-23,4,0,52,XAI random GC
03-29-09-29,7,0,52,XAI attention_same GC
03-29-09-37,13,0,52,XAI attention_opposite GC
03-29-09-53,3,0,53,XAI random GC
03-29-09-57,6,0,53,XAI attention_same GC
03-29-10-05,2,0,53,XAI attention_opposite GC
03-29-10-08,18,0,54,XAI random GC
03-29-10-29,7,0,54,XAI attention_same GC
03-29-10-38,8,0,54,XAI attention_opposite GC
03-29-10-47,4,0,55,XAI random GC
03-29-10-53,9,0,55,XAI attention_same GC
03-29-11-04,8,0,55,XAI attention_opposite GC
03-29-11-14,2,0,56,XAI random GC
03-29-11-17,2,0,56,XAI attention_same GC
03-29-11-20,2,0,56,XAI attention_opposite GC
03-29-11-24,3,0,57,XAI random GC
03-29-11-28,10,0,57,XAI attention_same GC
03-29-11-40,4,0,57,XAI attention_opposite GC
03-29-11-46,14,0,58,XAI random GC
03-29-12-02,11,0,58,XAI attention_same GC
03-29-12-15,13,0,58,XAI attention_opposite GC
03-29-12-30,6,0,59,XAI random GC
03-29-12-38,3,0,59,XAI attention_same GC
03-29-12-43,2,0,59,XAI attention_opposite GC
03-29-12-46,9,0,60,XAI random GC
03-29-12-57,8,0,60,XAI attention_same GC
03-29-13-07,6,0,60,XAI attention_opposite GC
03-30-15-27,10,0,1,XAI random IG
03-30-15-40,10,0,1,XAI attention_same IG
03-30-15-52,3,0,1,XAI attention_opposite IG
03-30-15-57,4,0,2,XAI random IG
03-30-16-02,6,0,2,XAI attention_same IG
03-30-16-10,6,0,2,XAI attention_opposite IG
03-30-16-18,1,0,3,XAI random IG
03-30-16-20,1,0,3,XAI attention_same IG
03-30-16-23,1,0,3,XAI attention_opposite IG
03-30-16-25,4,0,4,XAI random IG
03-30-16-31,7,0,4,XAI attention_same IG
03-30-16-40,3,0,4,XAI attention_opposite IG
03-30-16-45,1,0,5,XAI random IG
03-30-16-47,1,0,5,XAI attention_same IG
03-30-16-49,5,0,5,XAI attention_opposite IG
03-30-16-56,9,0,6,XAI random IG
