,Time,episode id,is success,seed,method_combi
512,03-31-11-47,6,0,31,XAI attention_opposite IG
515,03-31-12-04,1,0,32,XAI attention_opposite IG
518,03-31-13-20,39,1,33,XAI attention_opposite IG
521,03-31-14-22,14,0,34,XAI attention_opposite IG
524,03-31-14-44,1,0,35,XAI attention_opposite IG
527,03-31-15-22,3,0,36,XAI attention_opposite IG
530,03-31-15-54,14,0,37,XAI attention_opposite IG
533,03-31-16-43,10,0,38,XAI attention_opposite IG
536,03-31-17-19,1,0,39,XAI attention_opposite IG
542,03-31-18-09,39,1,41,XAI attention_opposite IG
545,03-31-19-19,13,0,42,XAI attention_opposite IG
551,03-31-20-02,13,0,44,XAI attention_opposite IG
554,03-31-21-01,5,0,45,XAI attention_opposite IG
557,03-31-21-12,1,0,46,XAI attention_opposite IG
560,03-31-21-40,3,0,47,XAI attention_opposite IG
563,03-31-21-54,5,0,48,XAI attention_opposite IG
566,03-31-22-18,7,0,49,XAI attention_opposite IG
572,03-31-22-38,2,0,51,XAI attention_opposite IG
575,03-31-22-55,7,0,52,XAI attention_opposite IG
578,03-31-23-37,2,0,53,XAI attention_opposite IG
581,04-01-00-25,16,0,54,XAI attention_opposite IG
584,04-01-01-00,6,0,55,XAI attention_opposite IG
587,04-01-01-21,9,0,56,XAI attention_opposite IG
590,04-01-01-53,12,0,57,XAI attention_opposite IG
593,04-01-02-45,19,0,58,XAI attention_opposite IG
596,04-01-03-18,3,0,59,XAI attention_opposite IG
599,04-01-03-46,3,0,60,XAI attention_opposite IG
602,03-25-20-18,3,0,1,XAI attention_opposite SM
605,03-25-20-46,14,0,2,XAI attention_opposite SM
608,03-25-21-21,6,0,3,XAI attention_opposite SM
611,03-25-21-45,4,0,4,XAI attention_opposite SM
614,03-25-21-57,1,0,5,XAI attention_opposite SM
617,03-25-22-14,5,0,6,XAI attention_opposite SM
620,03-25-23-51,39,1,7,XAI attention_opposite SM
623,03-26-01-29,24,0,8,XAI attention_opposite SM
626,03-26-02-10,3,0,9,XAI attention_opposite SM
629,03-26-02-20,1,0,10,XAI attention_opposite SM
632,03-26-02-49,39,1,11,XAI attention_opposite SM
635,03-26-03-44,5,0,12,XAI attention_opposite SM
638,03-26-05-22,39,1,13,XAI attention_opposite SM
641,03-26-06-52,11,0,14,XAI attention_opposite SM
644,03-26-07-10,1,0,15,XAI attention_opposite SM
647,03-26-07-37,6,0,16,XAI attention_opposite SM
650,03-26-07-56,3,0,17,XAI attention_opposite SM
653,03-26-08-06,2,0,18,XAI attention_opposite SM
659,03-26-09-12,5,0,20,XAI attention_opposite SM
662,03-26-09-36,2,0,21,XAI attention_opposite SM
665,03-26-10-02,10,0,22,XAI attention_opposite SM
671,03-26-11-28,8,0,24,XAI attention_opposite SM
674,03-26-12-04,39,1,25,XAI attention_opposite SM
677,03-26-13-17,9,0,26,XAI attention_opposite SM
680,03-26-13-49,39,1,27,XAI attention_opposite SM
683,03-26-14-44,11,0,28,XAI attention_opposite SM
686,03-26-15-09,17,0,29,XAI attention_opposite SM
689,03-26-15-48,7,0,30,XAI attention_opposite SM
692,03-26-16-18,6,0,31,XAI attention_opposite SM
695,03-26-16-33,1,0,32,XAI attention_opposite SM
698,03-26-17-02,16,0,33,XAI attention_opposite SM
701,03-26-17-41,8,0,34,XAI attention_opposite SM
704,03-26-17-57,1,0,35,XAI attention_opposite SM
707,03-26-18-49,19,0,36,XAI attention_opposite SM
